tr|A0A2U3WAP4|A0A2U3WAP4_ODORO,parathyroid hormone 2 receptor OS=Odobenus rosmarus divergens OX=9708 GN=PTH2R PE=4 SV=1,9708
tr|A0A3Q7Q817|A0A3Q7Q817_CALUR,parathyroid hormone 2 receptor OS=Callorhinus ursinus OX=34884 GN=PTH2R PE=4 SV=1,34884
tr|A0A2U3XPQ1|A0A2U3XPQ1_LEPWE,parathyroid hormone 2 receptor OS=Leptonychotes weddellii OX=9713 GN=PTH2R PE=4 SV=1,9713
tr|A0A2Y9I9H1|A0A2Y9I9H1_NEOSC,parathyroid hormone 2 receptor OS=Neomonachus schauinslandi OX=29088 GN=PTH2R PE=4 SV=1,29088
tr|M3XN68|M3XN68_MUSPF,Parathyroid hormone 2 receptor OS=Mustela putorius furo OX=9669 GN=PTH2R PE=4 SV=1,9669
tr|A0A2Y9J781|A0A2Y9J781_ENHLU,parathyroid hormone 2 receptor OS=Enhydra lutris kenyoni OX=391180 GN=LOC111145846 PE=4 SV=1,391180
tr|A0A384BT70|A0A384BT70_URSMA,parathyroid hormone 2 receptor OS=Ursus maritimus OX=29073 GN=PTH2R PE=4 SV=1,29073
tr|A0A3Q7VZ77|A0A3Q7VZ77_URSAR,parathyroid hormone 2 receptor OS=Ursus arctos horribilis OX=116960 GN=PTH2R PE=4 SV=1,116960
tr|G1M9Z5|G1M9Z5_AILME,Parathyroid hormone 2 receptor OS=Ailuropoda melanoleuca OX=9646 GN=PTH2R PE=4 SV=1,9646
tr|F1PWW6|F1PWW6_CANLF,Parathyroid hormone 2 receptor OS=Canis lupus familiaris OX=9615 GN=PTH2R PE=4 SV=3,9615
tr|A0A3Q7TS32|A0A3Q7TS32_VULVU,parathyroid hormone 2 receptor OS=Vulpes vulpes OX=9627 GN=PTH2R PE=4 SV=1,9627
tr|A0A6J1YV30|A0A6J1YV30_ACIJB,parathyroid hormone 2 receptor isoform X1 OS=Acinonyx jubatus OX=32536 GN=PTH2R PE=4 SV=1,32536
tr|A0A6P6GW38|A0A6P6GW38_PUMCO,parathyroid hormone 2 receptor OS=Puma concolor OX=9696 GN=PTH2R PE=4 SV=1,9696
tr|A0A5F5XQ32|A0A5F5XQ32_FELCA,Parathyroid hormone 2 receptor OS=Felis catus OX=9685 GN=PTH2R PE=4 SV=1,9685
tr|A0A485MMW7|A0A485MMW7_LYNPA,Parathyroid hormone 2 receptor OS=Lynx pardinus OX=191816 GN=LYPA_23C022263 PE=4 SV=1,191816
tr|A0A673SY79|A0A673SY79_SURSU,Parathyroid hormone 2 receptor OS=Suricata suricatta OX=37032 GN=PTH2R PE=4 SV=1,37032
tr|A0A6G1BES8|A0A6G1BES8_CROCR,PTH2R protein (Fragment) OS=Crocuta crocuta OX=9678 GN=Pth2r PE=4 SV=1,9678
tr|S9WXE3|S9WXE3_CAMFR,Parathyroid hormone 2 receptor OS=Camelus ferus OX=419612 GN=CB1_000593009 PE=4 SV=1,419612
tr|A0A5N4E701|A0A5N4E701_CAMDR,Parathyroid hormone 2 receptor OS=Camelus dromedarius OX=9838 GN=Cadr_000007147 PE=4 SV=1,9838
tr|A0A6I9I799|A0A6I9I799_VICPA,parathyroid hormone 2 receptor OS=Vicugna pacos OX=30538 GN=PTH2R PE=4 SV=1,30538
tr|E1B7Q8|E1B7Q8_BOVIN,Parathyroid hormone 2 receptor OS=Bos taurus OX=9913 GN=PTH2R PE=4 SV=2,9913
tr|A0A4W2CN77|A0A4W2CN77_BOBOX,Parathyroid hormone 2 receptor OS=Bos indicus x Bos taurus OX=30522 GN=PTH2R PE=4 SV=1,30522
tr|A0A6P5D3Y7|A0A6P5D3Y7_BOSIN,parathyroid hormone 2 receptor OS=Bos indicus OX=9915 GN=PTH2R PE=4 SV=1,9915
