sp|P47872|SCTR_HUMAN,sp|P47872|SCTR_HUMAN,100,440,0,0,1,440,1,440,0,907,P47872,Secretin receptor OS=Homo sapiens OX=9606 GN=SCTR PE=1 SV=2
sp|P47872|SCTR_HUMAN,tr|G3SA07|G3SA07_GORGO,99.773,440,1,0,1,440,1,440,0,907,G3SA07,Secretin receptor OS=Gorilla gorilla gorilla OX=9595 GN=SCTR PE=4 SV=1
sp|P47872|SCTR_HUMAN,tr|G1RH59|G1RH59_NOMLE,99.545,440,2,0,1,440,1,440,0,904,G1RH59,Uncharacterized protein OS=Nomascus leucogenys OX=61853 GN=SCTR PE=4 SV=1
sp|P47872|SCTR_HUMAN,tr|H2QIM4|H2QIM4_PANTR,99.091,440,4,0,1,440,1,440,0,902,H2QIM4,Secretin receptor OS=Pan troglodytes OX=9598 GN=SCTR PE=4 SV=1
sp|P47872|SCTR_HUMAN,tr|A0A2K5MG90|A0A2K5MG90_CERAT,98.194,443,5,1,1,440,1,443,0,892,A0A2K5MG90,Secretin receptor OS=Cercocebus atys OX=9531 GN=SCTR PE=4 SV=1
sp|P47872|SCTR_HUMAN,tr|A0A096MQK5|A0A096MQK5_PAPAN,97.968,443,6,1,1,440,1,443,0,891,A0A096MQK5,Secretin receptor OS=Papio anubis OX=9555 GN=SCTR PE=4 SV=1
sp|P47872|SCTR_HUMAN,tr|A0A2K6LB78|A0A2K6LB78_RHIBE,97.517,443,8,1,1,440,1,443,0,887,A0A2K6LB78,Uncharacterized protein OS=Rhinopithecus bieti OX=61621 GN=SCTR PE=4 SV=1
sp|P47872|SCTR_HUMAN,tr|A0A2R8ZBW6|A0A2R8ZBW6_PANPA,97.517,443,8,1,1,440,1,443,0,886,A0A2R8ZBW6,Secretin receptor OS=Pan paniscus OX=9597 GN=SCTR PE=4 SV=1
sp|P47872|SCTR_HUMAN,tr|F6TRW6|F6TRW6_MACMU,97.065,443,10,1,1,440,1,443,0,885,F6TRW6,Secretin receptor OS=Macaca mulatta OX=9544 GN=SCTR PE=4 SV=2
sp|P47872|SCTR_HUMAN,tr|A0A2K5Y3M2|A0A2K5Y3M2_MANLE,97.291,443,9,1,1,440,1,443,0,885,A0A2K5Y3M2,Secretin receptor OS=Mandrillus leucophaeus OX=9568 GN=SCTR PE=4 SV=1
sp|P47872|SCTR_HUMAN,tr|A0A2K5W7H9|A0A2K5W7H9_MACFA,96.614,443,12,1,1,440,1,443,0,881,A0A2K5W7H9,Secretin receptor OS=Macaca fascicularis OX=9541 GN=SCTR PE=4 SV=2
